tahun,kode_provinsi,provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_overweight,prevalensi_wasting,prevalensi_stunting,label
2022,32,Jawa Barat,3211,Sumedang,1167030,1566.2,745.134721,95.84,90.12,80.59,7.72,1601751,10.14,396573,61.26,72.69,SD,70,35,17.64,7.43,0,15.7,2.4,3.7,27.6,Prioritas
2022,32,Jawa Barat,3212,Indramayu,1871830,2076.06,901.6261572,95.25,81.39,86.64,6.49,1901275,12.77,532545,73.78,68.55,SD,75,49,14.2,5.99,0,19.1,4.1,9.2,21.1,Prioritas
2022,32,Jawa Barat,3213,Subang,1624390,2165.55,750.1050541,98.01,92.2,80.02,7.77,1948730,9.75,404320,47.63,69.87,SD,76,40,18.34,7.06,0,12.5,4.7,7.8,15.7,Tidak Prioritas
2022,32,Jawa Barat,3214,Purwakarta,1028570,993.09,1035.726873,92.59,93.03,82.46,8.75,1957779,8.7,434187,55.55,71.56,SD,72,20,25.72,6.72,0,14.1,5.4,6.6,21.8,Prioritas
2022,32,Jawa Barat,3215,Karawang,2505250,1913.71,1309.106395,98.19,85.42,85.1,9.87,2334853,8.44,555889,46.12,71.74,SMA,135,51,31.78,6.73,0,13.7,4.6,7.2,14,Tidak Prioritas
2022,32,Jawa Barat,3216,Bekasi,3214790,1251.02,2569.735096,94.86,92.61,89.99,10.31,2404396,5.01,632811,36.4,75.22,SMA,230,50,22.98,4.3,2,8.1,5.6,8.4,17.8,Tidak Prioritas
2022,32,Jawa Barat,3217,Bandung Barat,1846970,1283.44,1439.077791,86.6,88.3,50.96,9.63,1775068,10.82,426355,53.6,69.04,SD,95,33,18.07,7.81,0,15.7,2,4.1,27.3,Prioritas
2022,32,Jawa Barat,3218,Pangandaran,432380,1128.18,383.2544452,84.14,90.04,83,1.56,1367906,9.32,447242,44.85,69.03,SD,44,15,0.99,5.77,0,13.9,3.3,4.9,20,Prioritas
2022,32,Jawa Barat,3271,Kota Bogor,1063510,111.37,9549.340038,98.73,91.14,67.93,10.78,2493000,7.1,661384,52,77.17,SMA,207,24,32.73,5.35,0,13,5.1,5.5,18.7,Tidak Prioritas
2022,32,Jawa Barat,3272,Kota Sukabumi,356410,48.31,7377.561581,97.82,94.18,45.8,8.83,2012715,8.02,644276,82.15,75.4,SMA,47,15,28.3,8.46,0,14.2,2.9,7.2,19.2,Tidak Prioritas
2022,32,Jawa Barat,3273,Kota Bandung,2461550,166.59,14776.097,99.03,82.35,49.85,9.55,2325257,4.25,591124,75.7,82.5,SMA,350,71,32.57,4.55,0,12.5,3.3,4.2,19.4,Tidak Prioritas
2022,32,Jawa Barat,3274,Kota Cirebon,341240,39.44,8652.129817,99.05,85.36,90.62,8.42,1849590,9.82,520579,87.75,75.89,SMA,88,21,27.63,7.97,0,17.6,3,12.6,17,Tidak Prioritas
2022,32,Jawa Barat,3275,Kota Bekasi,2590260,213.04,12158.56177,98.28,95.2,90.8,8.81,3014772,4.43,795965,51.79,82.46,SMA,279,43,44.8,3.33,0,15,4.9,5.6,6,Tidak Prioritas
2022,32,Jawa Barat,3276,Kota Depok,2123350,199.91,10621.52969,99.44,98.9,96.21,7.82,2895486,2.53,804984,74.44,81.86,SMA,125,37,45.81,2.15,0,12.1,4.8,6.1,12.6,Tidak Prioritas
2022,32,Jawa Barat,3277,Kota Cimahi,575240,42.43,13557.38864,97.81,87.4,77.18,10.77,2275948,5.11,590197,57.78,78.77,SMA,75,12,45.85,4.63,0,9.9,4.4,2.8,16.4,Tidak Prioritas
2022,32,Jawa Barat,3278,Kota Tasikmalaya,733470,183.94,3987.550288,96.81,86.1,52.62,6.62,1727815,12.72,537497,76.45,73.83,SD,80,23,13.35,7.92,0,13,4.2,5.5,22.4,Prioritas
2022,32,Jawa Barat,3279,Kota Banjar,206460,131.01,1575.910236,97.67,92.91,88.26,5.53,1397678,6.73,408710,68.56,72.55,SD,43,10,16.93,6.4,0,12.8,4.7,6.2,19.3,Tidak Prioritas
2022,33,Jawa Tengah,3301,Cilacap,1988622,2323.93,855.7151033,90.56,89.05,79.1,9.62,1046090,11.02,419429,45.5,70.99,SD,94,38,12.01,16.69,0,15.8,3.2,7.6,17.6,Tidak Prioritas
2022,33,Jawa Tengah,3302,Banyumas,1806013,1391.15,1298.215865,90.03,90.08,79.8,6.05,1059036,12.84,479027,52.57,73.17,SD,157,39,24.17,11.93,0,14,3.6,5.9,16.6,Tidak Prioritas
2022,33,Jawa Tengah,3303,Purbalingga,1019840,805.76,1265.687053,88.61,90.86,78.56,5.23,1020756,15.3,439208,54.69,69.54,SD,58,22,14.14,13.24,0,16.1,4.4,6.5,26.8,Prioritas
2022,33,Jawa Tengah,3304,Banjarnegara,1038718,1144.9,907.256529,89.21,85.22,51.66,6.38,1027275,15.2,380046,60.84,68.61,SD,97,35,9.76,14.37,0,12.1,3.2,3.5,22.2,Prioritas
2022,33,Jawa Tengah,3305,Kebumen,1376825,1334.1,1032.025335,87.38,92.48,93.49,5.92,946706,16.41,451678,71.8,70.79,SD,93,35,14.83,12.46,0,17.1,3.3,6.3,22.1,Prioritas
2022,33,Jawa Tengah,3306,Purworejo,778257,1081.96,719.3029317,89.1,89.12,80.21,4.45,936413,11.53,427622,35.88,73.6,SMA,63,27,21.58,16.57,0,18.4,2.7,8.9,21.3,Prioritas
2022,33,Jawa Tengah,3307,Wonosobo,896346,1011.62,886.0500979,90.28,89.55,55.3,5.01,1004002,16.17,425105,63.81,68.89,SD,57,24,12.46,14.92,0,12.5,2.6,3.9,22.7,Prioritas
2022,33,Jawa Tengah,3308,Magelang,1312573,1129.98,1161.589586,94.65,87.09,80.49,4.97,974178,11.09,411129,61.88,70.85,SD,69,28,14.6,15.84,0,16.9,2.4,3.9,28.2,Prioritas
2022,33,Jawa Tengah,3309,Boyolali,1079952,1096.59,984.8275107,96.36,88.14,92.4,4.92,1307210,9.82,420339,45.58,74.97,SMA,75,24,23.28,14.24,0,17.5,3.3,7.4,20,Prioritas
2022,33,Jawa Tengah,3310,Klaten,1275850,701.5,1818.745545,97.97,91.42,95,4.31,1356181,12.33,488102,43.57,76.95,SMA,130,36,27.63,15.45,0,16.1,4,6.2,18.2,Tidak Prioritas
2022,33,Jawa Tengah,3311,Sukoharjo,916627,493.53,1857.287298,99.45,90.36,96.14,2.47,1566507,7.61,476675,70.5,77.94,SMA,94,12,33.57,12.74,0,18,3.6,9.5,19.8,Tidak Prioritas
2022,33,Jawa Tengah,3312,Wonogiri,1057087,1905.74,554.6858438,94.67,94.58,94.62,1.95,1034585,10.99,414901,55.63,71.04,SD,84,40,15.21,12.82,0,12.9,4.8,5.3,18,Tidak Prioritas
2022,33,Jawa Tengah,3313,Karanganyar,947642,803.05,1180.053546,98.18,96.13,96.32,5.7,1349950,9.85,465703,66.57,76.58,SMA,60,21,24.95,10.68,0,15,4,5.8,22.3,Prioritas
2022,33,Jawa Tengah,3314,Sragen,992243,994.57,997.6602954,96.85,91.7,93.08,4.69,1338235,12.94,426482,47.01,74.65,SD,89,25,19.21,11.8,0,21.1,3.1,10.8,24.3,Prioritas
2022,33,Jawa Tengah,3315,Grobogan,1470150,2023.85,726.4125306,81.85,84.32,87.93,4.4,1586556,11.8,464614,40.45,70.97,SD,84,31,11.64,15.88,0,17.3,2.4,9.3,19.3,Tidak Prioritas
2022,33,Jawa Tengah,3316,Blora,888224,1957.29,453.8029623,93.39,88.45,91.52,3.7,1087942,11.53,425135,64.27,69.95,SD,77,26,14.13,15.49,1,21.7,2.8,8.1,25.8,Prioritas
2022,33,Jawa Tengah,3317,Rembang,650770,1037.54,627.2240106,96.43,92.03,92.92,1.76,1300162,14.65,477514,58.74,71,SD,73,17,9.82,11.22,0,21.8,3.8,9.9,24.3,Prioritas
2022,33,Jawa Tengah,3318,Pati,1339572,1572.9,851.657448,96.67,93.67,93.8,4.45,1537447,9.33,532545,45.22,73.14,SD,95,29,24.5,9.83,0,21.2,3.2,10.3,23,Prioritas
2022,33,Jawa Tengah,3319,Kudus,856472,447.44,1914.160558,95.7,95.11,92.78,3.21,1551767,7.41,520830,64.63,75.89,SMA,62,18,32.56,11.72,0,22.9,4.8,15.8,19,Tidak Prioritas
2022,33,Jawa Tengah,3320,Jepara,1192811,1020.25,1169.135996,83.46,87.84,68.14,4.1,1356300,6.88,479131,58.78,73.15,SMP,70,22,13.93,12.11,0,19.8,4.3,11.4,18.2,Tidak Prioritas
2022,33,Jawa Tengah,3321,Demak,1223217,977.77,1251.027338,93.64,93.57,91.64,6.11,1681186,12.09,511145,50.8,73.36,SD,57,26,17.49,9,0,22.3,2.9,11.8,16.2,Tidak Prioritas
2022,33,Jawa Tengah,3322,Semarang,1068492,1019.27,1048.291424,93.7,92.74,85.91,4.81,1314779,7.27,498952,54.94,74.67,SMA,86,26,27.35,10.61,0,12.4,3.7,3.2,18.7,Tidak Prioritas
2022,33,Jawa Tengah,3323,Temanggung,799764,864.83,924.7644046,94.15,93.28,75.3,2.54,1095794,9.33,388369,55.7,70.77,SD,50,25,12.46,14.99,0,18.8,2.5,6.1,28.9,Prioritas
2022,33,Jawa Tengah,3324,Kendal,1033367,1008.12,1025.043646,95.15,91.44,82.65,7.34,1297523,9.48,465936,55.72,73.19,SD,87,28,20.52,13.87,0,17.1,4.1,10.1,17.5,Tidak Prioritas
2022,33,Jawa Tengah,3325,Batang,813791,857.27,949.2820232,93.63,93.52,67.29,6.64,1416484,8.98,378858,49.9,69.45,SD,54,21,10.31,10.23,0,17,3.3,5,23.5,Prioritas
2022,33,Jawa Tengah,3326,Pekalongan,986455,892.91,1104.764198,91.59,85.2,77.8,3.23,1295444,9.67,480934,47.58,70.81,SD,66,27,12.42,7.8,0,21.9,2.2,10.3,23.1,Prioritas
2022,33,Jawa Tengah,3327,Pemalang,1500754,1137.41,1319.448572,95.56,89.66,77.69,6.63,1415145,15.06,467204,52.05,67.19,SD,78,25,12.05,11.54,0,16.8,1.5,7,19.8,Tidak Prioritas
2022,33,Jawa Tengah,3328,Tegal,1623595,983.9,1650.162618,99.32,83.98,85.82,9.64,1256737,7.9,470728,70.65,69.53,SD,77,31,18.99,12.18,0,19.4,2,8.2,22.3,Prioritas
2022,33,Jawa Tengah,3329,Brebes,2010617,1742.81,1153.663911,89.67,86.26,80.72,9.48,1234677,16.05,513339,62.51,67.03,SD,93,38,11.66,11,0,21.9,2,8.7,29.1,Prioritas
2022,33,Jawa Tengah,3371,Kota Magelang,121675,18.56,6555.765086,99.71,90.9,82.27,6.71,1308809,7.1,602794,93.11,80.39,SMA,42,5,39.22,9.48,0,12.1,4.8,6,13.9,Tidak Prioritas
2022,33,Jawa Tengah,3372,Kota Surakarta,523008,46.72,11194.52055,98.68,80.21,87.49,5.83,1246542,8.84,600953,76.41,83.08,SMA,142,17,26.74,9.52,0,15.5,4.8,7.1,16.2,Tidak Prioritas
2022,33,Jawa Tengah,3373,Kota Salatiga,195065,54.98,3547.926519,98.04,92.3,97.72,5.58,1395393,4.73,565031,94.48,84.35,SMA,41,6,47.27,5.97,0,11.7,6.8,5.4,14.2,Tidak Prioritas
2022,33,Jawa Tengah,3374,Kota Semarang,1659975,370,4486.418919,99.36,88.16,92.45,7.6,1796349,4.25,642456,68.69,84.08,SMA,277,33,36.64,7.08,0,13.5,4.3,6.2,10.4,Tidak Prioritas
2022,33,Jawa Tengah,3375,Kota Pekalongan,309742,46.2,6704.372294,99.96,81.4,86.82,4.98,1185523,7,565998,76.26,75.9,SMA,35,14,22.31,8.41,0,26.5,3.1,15.2,23.1,Prioritas
2022,33,Jawa Tengah,3376,Kota Tegal,278299,39.08,7121.264074,99.41,90.15,93.58,6.68,1393917,7.91,623617,58.89,76.15,SMA,41,8,31.03,9.07,0,24,1.8,18.7,16.8,Tidak Prioritas
