jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
1950580,178.347,10936.99361,97.12,95.3,94.95,6.76,5157504.0,5.89,746468,54.25,80.98,2,159,37,41.12,1.58,0,13.4,7.1,0
450507,162.514,2772.111941,99.18,92.21,96.23,7.25,4512694.0,3.98,632703,58.16,78.24,2,41,9,44.22,2.19,0,14.0,7.7,1
723794,265.787,2723.210691,96.72,88.02,92.36,7.45,4034900.0,6.2,511575,46.76,76.43,0,39,16,27.61,2.3,1,19.2,11.1,1
1391649,164.86,8441.398763,97.91,97.87,99.29,5.81,5715633.0,2.57,782543,54.69,83.57,2,144,29,52.33,1.92,1,8.8,6.3,0
97100,1821.75,53.30039797,83.1,84.03,72.67,5.85,1239279.0,17.92,538693,55.22,69.98,1,29,14,13.44,10.91,0,28.2,17.8,1
133300,1852.82,71.94438747,83.99,90.5,67.93,6.84,1512263.0,19.15,568691,66.77,71.14,1,37,11,18.9,7.31,0,16.1,11.8,1
239500,4175.37,57.36018604,82.44,86.26,74.54,4.73,1433511.0,12.1,494565,50.96,71.14,1,60,26,9.77,13.7,0,20.1,13.1,1
230900,4179.12,55.25086621,88.04,74.56,65.08,5.0,1624077.0,12.45,471301,62.67,72.93,1,21,19,11.12,12.97,0,24.7,12.1,1
438100,5432.63,80.64234082,82.46,86.59,70.01,8.03,2192946.0,13.39,530934,45.29,70.73,1,66,27,4.13,8.61,0,28.1,14.7,1
223800,4521.7,49.49465909,91.02,94.22,92.61,4.42,1878277.0,14.38,584863,56.02,76.45,1,66,17,5.89,8.61,0,11.4,6.1,1
204800,2818.17,72.67127249,97.09,95.45,90.16,6.07,2323189.0,17.86,616091,62.97,74.62,1,118,10,18.83,6.16,0,21.8,16.9,1
422400,2882.83,146.5226878,92.63,80.38,89.07,8.17,1573138.0,13.38,564431,71.2,75.98,1,97,31,12.64,8.58,0,26.6,20.2,1
448100,3133.93,142.9834106,87.6,51.03,60.36,5.92,1975656.0,18.78,579450,52.02,72.95,1,90,26,6.48,9.12,0,23.6,17.3,1
453200,1793.27,252.7226798,92.62,89.94,84.96,4.14,1558676.0,12.12,486667,56.13,74.56,1,77,23,7.92,7.62,0,31.9,15.9,1
624900,2711.15,230.4925954,92.47,85.27,77.95,7.07,2077411.0,16.64,454361,61.63,72.5,1,75,31,5.33,14.24,0,20.4,10.4,1
157000,1882.28,83.40948212,92.69,77.01,64.69,4.08,1630515.0,15.43,474127,72.17,70.47,1,50,13,7.25,9.64,0,21.5,10.4,1
104900,5541.28,18.93064418,79.64,71.43,46.05,2.65,1667016.0,18.82,514836,67.52,70.82,1,25,13,9.72,9.18,0,5.6,5.0,0
305200,2184.4,139.7180004,87.5,92.42,78.61,7.21,1650746.0,12.51,555387,58.84,73.02,1,28,14,18.96,12.05,1,26.8,17.0,1
174300,3416.32,51.01981079,93.28,88.32,82.72,5.74,2578334.0,17.25,594374,52.28,72.15,1,49,15,19.88,3.43,0,25.5,17.6,1
