,jumlah_penduduk,luas_wilayah,kategori_kepadatan,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
255,295480,1281.45,1,59.03,96.75,77.09,3.89,1727556.0,7.25,511418,64.11,69.38,0,39,11,16.9,8.07,0,9.7,7.1,0
256,169750,2993.8,1,67.78,86.42,79.23,3.47,1629069.0,13.49,545538,52.89,70.4,1,29,12,10.28,7.23,0,11.5,10.3,0
257,1202070,183.72,3,98.06,97.02,92.85,7.43,2023694.0,7.77,761790,66.28,79.86,2,85,29,31.62,7.43,1,8.6,8.4,0
258,173870,73.21,3,95.85,92.93,98.89,3.06,1792409.0,7.28,480830,92.86,79.85,2,42,11,35.71,8.38,0,9.1,8.2,0
259,337900,3016.85,1,73.64,96.04,97.26,5.03,2301058.0,4.32,685810,81.01,74.34,1,66,12,44.57,13.4,1,13.9,11.0,1
260,189200,2270.71,1,87.09,91.19,92.62,4.14,2643859.0,6.46,896948,74.27,74.49,1,25,10,26.47,13.14,1,12.3,5.1,1
261,212900,2851.41,1,82.26,93.7,90.87,4.77,2372653.0,2.71,681517,78.87,71.13,1,40,7,24.26,13.79,0,16.0,8.5,1
262,207400,2259.98,1,85.02,96.97,92.97,3.88,2259314.0,5.29,814969,72.49,72.36,0,25,9,18.9,14.51,1,15.3,8.6,0
263,205800,3598.24,1,73.72,92.6,89.27,4.84,2448931.0,3.11,669016,73.97,69.67,0,34,10,20.41,13.08,0,13.3,7.4,1
264,131300,2588.4,1,75.83,92.98,90.03,2.41,2637568.0,6.73,899482,83.04,73.31,1,23,8,23.78,12.24,0,12.3,7.2,0
265,227300,104.54,3,95.65,99.49,95.35,5.76,2999816.0,4.27,894224,71.83,80.45,2,42,9,51.53,12.74,1,9.7,5.9,1
266,260600,930.45,2,87.91,96.47,96.85,6.02,2378298.0,5.95,468332,59.48,74.7,1,24,14,43.33,14.7,0,13.4,6.2,0
267,165900,1317.15,1,84.47,91.32,86.74,5.43,1950813.0,5.9,474674,70.35,77.5,1,30,16,35.35,15.28,1,15.4,9.8,1
268,84600,1999.16,0,88.52,93.97,76.56,4.05,1883825.0,5.25,480103,82.45,78.23,1,43,13,27.97,15.94,0,14.6,8.7,0
269,101000,2210.82,0,84.6,90.08,70.13,3.52,1751915.0,11.26,540936,72.15,72.23,0,20,13,23.2,24.11,0,14.8,10.2,1
270,49100,627.03,1,28.96,93.83,30.46,2.55,2650782.0,6.95,481718,73.67,72.8,0,23,10,28.75,13.71,0,13.8,8.6,0
271,1256600,1034.73,3,95.94,96.31,94.45,8.14,3593241.0,5.02,854465,50.68,82.64,2,70,19,53.09,7.53,0,11.5,5.3,0
272,234800,150.37,3,93.77,95.72,92.69,4.76,2524549.0,7.95,771584,68.73,81.14,2,27,7,47.68,10.07,0,14.1,7.5,0
273,323500,849.13,2,96.02,81.42,96.05,2.52,1434656.0,4.96,496435,56.0,74.8,1,35,10,17.93,7.6,2,6.9,3.2,0
274,466100,849.31,3,98.41,89.94,95.56,2.64,2158799.0,4.7,562801,53.96,77.87,1,79,20,38.26,3.15,0,6.7,3.3,0
275,563300,398.75,3,99.52,95.53,98.98,2.72,3445410.0,2.3,688018,72.7,83.0,2,68,13,27.59,1.23,0,3.5,1.7,0
276,524000,364.36,3,99.88,90.15,99.0,2.96,2189584.0,4.47,468307,54.8,79.69,1,67,13,42.22,1.66,0,5.8,2.3,0
277,208700,313.96,3,98.64,88.65,97.7,1.29,1712324.0,5.61,384983,61.07,74.18,1,43,9,21.65,4.94,0,3.7,1.4,0
278,261400,526.76,3,96.32,67.42,91.58,0.75,1868109.0,5.28,436928,54.94,71.99,1,49,12,23.98,3.71,2,4.3,1.7,0
279,500000,839.32,3,100.0,69.59,90.55,2.61,1245606.0,6.56,404083,55.85,70.09,0,45,12,15.86,8.43,4,6.1,2.4,0
280,808900,1322.68,3,95.49,80.44,90.99,3.6,1740109.0,5.85,537262,65.0,74.87,1,71,20,16.2,7.64,1,5.4,5.1,0
281,748400,125.87,3,99.84,93.56,99.92,2.85,3313934.0,2.68,778203,71.92,84.68,2,190,11,49.34,1.7,0,7.3,6.5,0
282,28925,10.73,3,87.66,89.27,85.66,8.47,1738765.0,14.11,743820,82.49,72.79,2,8,6,98.88,3.91,0,16.8,8.9,1
283,2244623,144.94,3,98.95,89.98,95.45,5.63,3482955.0,3.52,891580,72.39,85.21,2,327,60,85.43,2.51,0,8.5,6.8,0
284,3083883,185.54,3,98.81,91.35,94.32,8.39,3168436.0,4.3,669713,69.89,83.45,2,304,63,84.79,3.71,0,11.7,8.0,0
285,1079995,47.56,3,98.83,75.25,92.35,5.88,3557990.0,4.9,784679,79.1,82.11,2,376,37,89.87,3.82,0,11.6,8.8,0
286,2448975,125.0,3,99.31,88.46,91.65,7.1,4203279.0,4.22,657247,67.86,82.51,2,266,53,86.13,2.8,0,12.7,7.8,0
287,1793550,147.46,3,98.0,85.38,88.92,8.04,7211579.0,7.24,684557,69.31,80.81,2,147,31,85.38,4.78,0,14.0,9.4,0
288,5566840,2991.78,3,92.28,85.77,73.47,10.64,2030305.0,7.73,482174,38.19,71.2,2,273,109,29.03,7.03,1,16.6,7.2,1
289,2806660,4164.15,3,85.7,83.71,63.32,7.77,1890323.0,7.34,392705,55.6,67.64,0,123,60,9.17,7.42,0,16.2,5.8,1
